Code-Mixing Index_t,M-Index_t,I-Index_t,Burstiness_t
6.2264150943396235,7.507011530071673,2.4170616113744074,-0.15479596227467224
7.567567567567568,8.882758620689655,3.0000000000000004,-0.2399179635224091
6.407766990291261,7.714142594757053,2.487804878048781,-0.21907154905325038
8.051948051948052,9.26876828079298,2.829268292682927,-0.3257720539546477
7.174447174447174,8.521305499960867,2.693726937269373,-0.2707345171961971
7.7115987460815045,9.004762349425716,2.8301886792452837,-0.2239057223574837
5.7142857142857135,6.8965517241379315,2.2602739726027394,-0.20235942733405415
7.777777777777777,9.058823529411761,3.016759776536313,-0.3105732173915871
7.726161369193154,9.016768032740293,2.9411764705882355,-0.35507039493706166
5.842696629213484,7.052744886975244,2.3863636363636367,-0.14129870280429357
6.8965517241379315,8.242950108459869,2.7906976744186047,-0.22030102515240943
6.7857142857142865,8.127167630057802,2.7027027027027026,-0.2684676642723593
7.510917030567685,8.833183695456992,2.8947368421052633,-0.35369051518615907
6.000000000000001,7.241379310344829,2.4242424242424248,-0.14073239292344294
7.222222222222223,8.56733524355301,2.9577464788732395,-0.2353669083535737
6.238532110091743,7.521014599616576,2.5,-0.29952406259252234
6.000000000000001,7.241379310344829,2.4242424242424248,-0.030927835051546438
6.920152091254752,8.267265284563578,2.5190839694656493,-0.21564013394386314
7.083333333333332,8.431999999999997,2.842105263157895,-0.2549739175839133
7.741935483870968,9.02970297029703,2.780172413793104,-0.26317232409993035
7.297297297297298,8.63852961198094,2.8571428571428568,-0.24086742766852545
6.949806949806949,8.297645999836336,2.674418604651163,-0.3078518497053457
7.378640776699028,8.714058916916564,2.9411764705882355,-0.33068629780206676
6.551724137931036,7.874601487778957,2.5072046109510087,-0.2250483007105423
6.6350710900473935,7.965780234857349,2.5714285714285716,-0.19076319717119886
7.105263157894736,8.45367412140575,2.7814569536423845,-0.16616722392147965
6.666666666666668,7.999999999999999,2.6548672566371683,-0.24339730953391267
6.991869918699187,8.340404897563342,2.6938775510204085,-0.26133636814753564
8.172043010752688,9.353322891027075,3.2608695652173916,-0.1972669171432048
7.333333333333334,8.672199170124482,2.61744966442953,-0.20769389510439254
7.096774193548388,8.445297504798464,2.9508196721311473,-0.198381612229155
7.863247863247864,9.126729076428674,3.103448275862069,-0.31370023556915366
5.483870967741935,6.6119273984442515,2.1951219512195124,-0.23030660243708956
6.818181818181818,8.161350844277672,2.6235741444866925,-0.16267221349787478
5.909090909090908,7.132743362831858,2.413793103448276,-0.14853998654493591
7.605633802816902,8.915572232645406,2.9787234042553195,-0.3347920539247892
5.9770114942528725,7.214009551967248,2.4418604651162794,-0.15112818044818238
6.551724137931036,7.874601487778957,2.608695652173913,-0.24540265539366163
7.9411764705882355,9.186721991701246,2.6865671641791042,-0.20579785178610996
6.601941747572814,7.929694101740746,2.647058823529412,-0.17555937709383115
6.940639269406392,8.2882745471878,2.560975609756098,-0.25413367271961645
8.085106382978724,9.292576419213976,3.225806451612904,-0.18474566963569122
6.865671641791044,8.210953346855984,2.706766917293233,-0.1864116551279074
7.567567567567568,8.882758620689655,2.9347826086956523,-0.24929709426285573
8.60759493670886,9.619616472807293,3.461538461538462,-0.33767695178685825
7.070707070707069,8.419470024431494,2.7411167512690353,-0.2932575379951424
6.262626262626263,7.548791405550582,2.4365482233502536,-0.2644561385845069
7.102803738317758,8.451248992747788,2.8301886792452837,-0.23884231706287037
4.931506849315069,5.912212600776352,2.0833333333333335,-0.14644038183010694
